Men_name,Men_height,Women_name,Women_height
Caleb Baron,72.0,Faith Ring,63.0
Tyler Canteen,67.0,Sydney Stemley,66.0
Doruk Evcimen,68.0,Braelyn Wilson,65.0
Tyler Finkle,76.0,Victoria Zjawin,64.0
AJ Guevara,66.0,Alexandria Bard,66.0
Tomas  Jimenez,67.0,Madeline Boyar,65.0
Daniel Karamanougian,70.0,Ashley Brousseau,69.0
Devin Korsak,70.0,Veronica Coe,66.0
Matthew O'Brien,71.0,Destiny  Duckworth,64.0
Jacob Peraza,73.0,Cadence  Dudley,62.0
Sean Robinson,72.0,Alexis Gibson,67.0
Andy Shkolnik,71.0,Macayla Hodkinson,66.0
Joe Swede,76.0,Allison LaBarbera,66.0
Adam Wright,69.0,Alaska Lilliock,66.0
Maddox Aramini,67.0,Anna McCall,66.0
Nicky Byrd,70.0,Lena Nakken,69.0
Ross Caimano,70.0,Paige Splendido,65.0
Joseph  Campise,73.0,Callie Stinson,64.0
Andrew Capella,69.0,Alyssa Thompson,67.0
Russell Cheng,67.0,Avery Tomandl,
Matt Cleveland,68.0,Raina Willie,69.0
Bastian Dudley,70.0,,
Anthony Genovese,72.0,,
Luke Goodspeed,68.0,,
Dylan Harrison,69.0,,
Brendan Heaney,71.0,,
Ben Heyman,68.0,,
Calvin Hitzschke,72.0,,
Jack Humphrey,71.0,,
James  Llewellyn,66.0,,
Cosmo Martinelli,74.0,,
Josh Pappace,69.0,,
Colin Ringwood,69.0,,
David Scott,70.0,,
Delroy Tyrrell,72.0,,
Gavin Weseman,76.0,,
Benjamin Beldner,73.0,,
Brandon Berger,73.0,,
Ryan Board,71.0,,
Keegan Chatham,70.0,,
Zachary Ciriaco,66.0,,
Ryan Cohn,70.0,,
Nathan DeGuzman,69.0,,
Christopher Egan,66.0,,
Christopher Ghim,72.0,,
Brian Harding,76.0,,
Jackson Homan,72.0,,
Sandon Karinsky,70.0,,
George Kipshidze,73.0,,
Eric Kroon,77.0,,
Elijah Lanfear,74.0,,
Xiaoyu Lin,73.0,,
Ryan Maierle,75.0,,
William Maurer,70.0,,
Justin Meyn,74.0,,
Liam Murphy,73.0,,
Oisin O'Sullivan,71.0,,
Matthew Palguta,74.0,,
Travis Phillips,73.0,,
Robert Reining,74.0,,
Henry Shemet,75.0,,
Jake  Vecchio,68.0,,
Matthew Czubachowski,72.0,,
Nicholas Dolan,73.0,,
Caleb Ferns,72.0,,
Nicholas Griffith,76.0,,
Joseph Guiliano,72.0,,
Kieran Hassard,72.0,,
Anthony Laite,69.0,,
Drew MacDonald,72.0,,
Kyle Morken,73.0,,
Peter Vanderwerf,75.0,,
